Brand,model,full_name,Km_driven,fuel,transmission,Price(?),Price_per_km,Price_per_year,emi_from_5yr_down_payment_20_percent,emi_perc_price,testdrive_loc,spiny_category,city,created_at,creation_year,creation_month,model_year,age_years,testdrive_area
Mahindra,Scorpio N,Mahindra Scorpio N,23000,diesel,automatic,2298000,99.91,766000,"41,821",1.09,"Spinny  Hub, Gaur City, Noida",Assured,Delhi-Ncr,09-06-2024,2024,6,2022,3,Gaur City
Maruti,Suzuki Swift,Maruti Suzuki Swift,1000,petrol,manual,719000,719.00,719000,"13,087",1.09,"Spinny  Hub, Rohini, Delhi",Assured,Delhi-Ncr,09-06-2024,2024,6,2024,1,Rohini
Maruti,Suzuki Wagon,Maruti Suzuki Wagon,17000,petrol+cng,manual,573000,33.71,143250,"10,436",1.09,"Spinny  Hub, Faridabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Faridabad
Maruti,Suzuki Wagon,Maruti Suzuki Wagon,39000,petrol,automatic,378000,9.69,47250,"7,194",1.14,"Spinny  Hub, Indirapuram Habitat Centre, Ghaziabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2017,8,Indirapuram Habitat Centre
Honda,Amaze 1.2,Honda Amaze 1.2,31000,petrol,manual,652000,21.03,163000,"11,859",1.09,"Spinny  Hub, Gaur City, Noida",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Gaur City
Maruti,Suzuki Alto,Maruti Suzuki Alto,26000,petrol,manual,300000,11.54,33333,"5,453",1.09,"Spinny  Hub, Gaur City, Noida",Assured,Delhi-Ncr,09-06-2024,2024,6,2016,9,Gaur City
Maruti,Suzuki Alto,Maruti Suzuki Alto,71000,petrol,manual,294000,4.14,58800,"5,595",1.14,"Spinny  Hub, Faridabad",Budget,Delhi-Ncr,09-06-2024,2024,6,2020,5,Faridabad
Renault,Kwid Rxt,Renault Kwid Rxt,40000,petrol,manual,268000,6.70,33500,"4,878",1.09,"Spinny  Hub, Indirapuram Habitat Centre, Ghaziabad",Budget,Delhi-Ncr,09-06-2024,2024,6,2017,8,Indirapuram Habitat Centre
Honda,City Vx,Honda City Vx,105000,petrol,manual,439000,4.18,39909,"7,990",1.09,"Spinny  Hub, Taj Vivanta, Dwarka, Delhi",Budget,Delhi-Ncr,09-06-2024,2024,6,2014,11,Taj Vivanta
Chevrolet,Beat Ls,Chevrolet Beat Ls,35000,petrol,manual,227000,6.49,17462,0,0.00,"Spinny  Hub, Taj Vivanta, Dwarka, Delhi",Budget,Delhi-Ncr,09-06-2024,2024,6,2012,13,Taj Vivanta
Hyundai,Xcent S,Hyundai Xcent S,27000,petrol,manual,389000,14.41,38900,"6,638",1.02,"Spinny  Hub, Trillium Avenue, Gurgaon",Assured,Delhi-Ncr,09-06-2024,2024,6,2015,10,Trillium Avenue
Renault,Triber Rxt,Renault Triber Rxt,35000,petrol,manual,597000,17.06,149250,"10,866",1.09,"Spinny  Hub, Indirapuram Habitat Centre, Ghaziabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Indirapuram Habitat Centre
Hyundai,Elite I20,Hyundai Elite I20,21000,petrol,manual,651000,31.00,108500,"11,858",1.09,"Spinny  Hub, Universal Trade Tower, Sohna Road, Gurgaon",Assured,Delhi-Ncr,09-06-2024,2024,6,2019,6,Universal Trade Tower
Honda,Brio Vx,Honda Brio Vx,52000,petrol,manual,375000,7.21,37500,"6,399",1.02,"Spinny  Hub, Faridabad",Budget,Delhi-Ncr,09-06-2024,2024,6,2015,10,Faridabad
Renault,Kwid Climber,Renault Kwid Climber,14000,petrol,manual,435000,31.07,108750,"7,918",1.09,"Spinny  Hub, Rcube Monad Mall, Rajouri",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Rcube Monad Mall
Tata,Altroz Xm,Tata Altroz Xm,22000,diesel,manual,759000,34.50,253000,"13,815",1.09,"Spinny  Hub, Trillium Avenue, Gurgaon",Assured,Delhi-Ncr,09-06-2024,2024,6,2022,3,Trillium Avenue
Hyundai,New Santro,Hyundai New Santro,67000,petrol,manual,442000,6.60,110500,"7,542",1.02,"Spinny  Hub, Faridabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2021,4,Faridabad
Maruti,Suzuki Wagon,Maruti Suzuki Wagon,26000,petrol,manual,280000,10.77,25455,"5,321",1.14,"Spinny  Hub, Rcube Monad Mall, Rajouri",Budget,Delhi-Ncr,09-06-2024,2024,6,2014,11,Rcube Monad Mall
Audi,A4 Technology,Audi A4 Technology,3000,petrol,automatic,4444000,1481.33,2222000,"80,889",1.09,"Max Hub @ Trillium Avenue, Gurgaon",Max,Delhi-Ncr,09-06-2024,2024,6,2023,2,Gurgaon
Mercedes-Benz,C-Class C,Mercedes-Benz C-Class C,11000,petrol,automatic,3686000,335.09,526571,"67,100",1.09,"Max Hub @ Trillium Avenue, Gurgaon",Max,Delhi-Ncr,09-06-2024,2024,6,2018,7,Gurgaon
Audi,Q2 Premium,Audi Q2 Premium,21000,petrol,automatic,2777000,132.24,555400,"50,554",1.09,"Max Hub @ Trillium Avenue, Gurgaon",Max,Delhi-Ncr,09-06-2024,2024,6,2020,5,Gurgaon
Audi,A4 Premium,Audi A4 Premium,18000,petrol,automatic,3686000,204.78,921500,"67,100",1.09,"Max Hub @ Trillium Avenue, Gurgaon",Max,Delhi-Ncr,09-06-2024,2024,6,2021,4,Gurgaon
Maruti,Suzuki Baleno,Maruti Suzuki Baleno,10000,petrol,automatic,698000,69.80,116333,"12,705",1.09,"Spinny  Hub, Indirapuram Habitat Centre, Ghaziabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2019,6,Indirapuram Habitat Centre
Renault,Kiger Rxt,Renault Kiger Rxt,12000,petrol,automatic,759000,63.25,253000,"13,815",1.09,"Spinny  Hub, Indirapuram Habitat Centre, Ghaziabad",Assured,Delhi-Ncr,09-06-2024,2024,6,2022,3,Indirapuram Habitat Centre
Renault,Kiger Rxt,Renault Kiger Rxt,13000,petrol,automatic,754000,58.00,377000,"13,724",1.09,"Spinny  Hub, Rcube Monad Mall, Rajouri",Assured,Delhi-Ncr,09-06-2024,2024,6,2023,2,Rcube Monad Mall
Volkswagen,Tiguan Highline,Volkswagen Tiguan Highline,39000,diesel,automatic,2168000,55.59,361333,"39,469",1.09,"Spinny  Hub, Universal Trade Tower, Sohna Road, Gurgaon",Assured,Delhi-Ncr,09-06-2024,2024,6,2019,6,Universal Trade Tower
Hyundai,I20 Magna,Hyundai I20 Magna,21000,petrol,manual,379000,18.05,29154,"10,216",1.62,"Spinny  Hub, Rohini, Delhi",Budget,Delhi-Ncr,09-06-2024,2024,6,2012,13,Rohini
Kia,Carens Prestige,Kia Carens Prestige,12000,petrol,manual,1358000,113.17,452667,"24,725",1.09,"Spinny  Hub, Universal Trade Tower, Sohna Road, Gurgaon",Assured,Delhi-Ncr,09-06-2024,2024,6,2022,3,Universal Trade Tower
Kia,Seltos Htx,Kia Seltos Htx,60000,petrol,manual,1096000,18.27,219200,"19,945",1.09,"Spinny  Hub, Rcube Monad Mall, Rajouri",Assured,Delhi-Ncr,09-06-2024,2024,6,2020,5,Rcube Monad Mall
Maruti,Suzuki Swift,Maruti Suzuki Swift,104000,petrol+cng,manual,518000,4.98,74000,"9,428",1.09,"Spinny  Hub, Indirapuram Habitat Centre, Ghaziabad",Budget,Delhi-Ncr,09-06-2024,2024,6,2018,7,Indirapuram Habitat Centre
Maruti,Suzuki Swift,Maruti Suzuki Swift,67000,petrol,manual,468000,6.99,46800,"8,518",1.09,"Spinny  Hub, Trillium Avenue, Gurgaon",Assured,Delhi-Ncr,09-06-2024,2024,6,2015,10,Trillium Avenue
Honda,Amaze 1.2,Honda Amaze 1.2,96000,petrol,manual,550000,5.73,78571,"10,011",1.09,"Spinny  Hub, Indirapuram Habitat Centre, Ghaziabad",Budget,Delhi-Ncr,09-06-2024,2024,6,2018,7,Indirapuram Habitat Centre
Hyundai,Verna Fluidic,Hyundai Verna Fluidic,119000,petrol,manual,414000,3.48,34500,"8,887",1.29,"Spinny  Hub, Rohini, Delhi",Budget,Delhi-Ncr,09-06-2024,2024,6,2013,12,Rohini
